Number of edges in matching: 18
{('v_bv', 'b_bv'), ('o_tt', 'rh_end_tt_2'), ('g_gy1', 'rc_end_north'), ('b_end_east', 'g_gy2'), ('v_end_east', 'rs_end_north'), ('rh_end_tt_1', 'b_bw'), ('rd_end_south', 'b_end_west'), ('rd_end_north', 'rh_end_north'), ('o_y_tt_end_west', 'nature_end_west'), ('y_rh', 'rh_end_south'), ('y_gy1', 'rc_end_south'), ('b_tt_3', 'rt_end_north'), ('b_v', 'v_end_west'), ('y_rt', 'rt_end_south'), ('w_bw', 'g_w'), ('rs_end_south', 'y_gy2'), ('o_rt', 'o_w_1'), ('rh_end_tt_4', 'rh_end_tt_3')}
         1637436 function calls (1618545 primitive calls) in 26.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.001    0.000    0.001    0.000 arrayprint.py:1466(_guarded_repr_or_str)
        2    0.001    0.000    0.001    0.001 {built-in method matplotlib._path.get_path_collection_extents}
     5307    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
    92/91    0.001    0.000    0.864    0.009 <frozen importlib._bootstrap_external>:1099(create_module)
        1    0.001    0.001    0.115    0.115 cpp.py:27(determine_shortest_paths_distances)
 1071/593    0.001    0.000    0.001    0.000 transforms.py:2334(<lambda>)
     3096    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       11    0.001    0.000    0.064    0.006 artist.py:1386(pprint_setters)
  109/108    0.001    0.000    0.006    0.000 transforms.py:1710(__eq__)
      880    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
      200    0.001    0.000    0.004    0.000 managers.py:1589(get_slice)
     5066    0.001    0.000    0.001    0.000 inspect.py:2531(default)
